what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1387181732577
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1387181732593
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1387181732608
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182322273
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182326376
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182326407
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182543495
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.0.v200906080543,"org.eclipse.wst.common.project.facet.ui",1387182555585
started,bundle,org.eclipse.wst.web.ui,1.1.300.v200905242131,"org.eclipse.wst.web.ui",1387182555585
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1387182555585
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1387182555679
started,bundle,org.eclipse.jst.j2ee.web,1.1.300.v200904290430,"org.eclipse.jst.j2ee.web",1387182555695
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1387182555710
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1387182555726
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1387182555726
started,bundle,org.eclipse.jst.common.frameworks,1.1.300.v200904132230,"org.eclipse.jst.common.frameworks",1387182556412
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.ui",1387182556506
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182556553
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182720540
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387182725969
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387183330965
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387183334475
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387183344771
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387183352587
started,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1387183439495
