what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185178510
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1387185183552
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185183552
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1387185190260
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185193723
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185194956
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.run",1387185194971
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185195049
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185195065
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185297791
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185324670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185329007
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185331862
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1387185377071
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185377617
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1387185378677
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185378677
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185380019
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1387185381095
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1387185388693
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1387185389473
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387185569918
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185702035
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185703298
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387185703408
