what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1387180866121
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1387180866121
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1387180866121
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1387180866121
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1387180866136
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1387180866136
os,sysinfo,,,"win32",1387180866136
arch,sysinfo,,,"x86",1387180866136
ws,sysinfo,,,"win32",1387180866136
locale,sysinfo,,,"en_IN",1387180866136
processors,sysinfo,,,"4",1387180866136
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387180866136
java.runtime.version,sysinfo,,,"1.6.0_03-b05",1387180866136
java.specification.name,sysinfo,,,"Java Platform API Specification",1387180866136
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1387180866136
java.specification.version,sysinfo,,,"1.6",1387180866136
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1387180866136
java.version,sysinfo,,,"1.6.0_03",1387180866136
java.vm.info,sysinfo,,,"mixed mode",1387180866136
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1387180866136
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387180866136
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1387180866136
java.vm.specification.version,sysinfo,,,"1.0",1387180866136
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1387180866136
java.vm.version,sysinfo,,,"1.6.0_03-b05",1387180866136
