what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1380368319504
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1380368319504
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1380368319504
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1380368319504
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1380368319504
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1380368319504
os,sysinfo,,,"win32",1380368319504
arch,sysinfo,,,"x86",1380368319504
ws,sysinfo,,,"win32",1380368319504
locale,sysinfo,,,"en_IN",1380368319504
processors,sysinfo,,,"4",1380368319504
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380368319504
java.runtime.version,sysinfo,,,"1.6.0_03-b05",1380368319504
java.specification.name,sysinfo,,,"Java Platform API Specification",1380368319504
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380368319504
java.specification.version,sysinfo,,,"1.6",1380368319504
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380368319504
java.version,sysinfo,,,"1.6.0_03",1380368319504
java.vm.info,sysinfo,,,"mixed mode",1380368319504
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380368319504
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380368319504
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380368319504
java.vm.specification.version,sysinfo,,,"1.0",1380368319504
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380368319504
java.vm.version,sysinfo,,,"1.6.0_03-b05",1380368319504
